trigger_phrase,category_tag,target_section,risk_explanation,builder_impact,clarification_question,confidence_requirement,suppression_rule
as directed by,RESP_SHIFT,Implied or Ambiguous Responsibilities,Design intent is not finalized at the time of contract.,Subjective approvals lead to rework or uncompensated design changes.,"Design direction is deferred and not currently defined. Is there a mockup, written directive, or not-to-exceed specification that establishes the limit of this direction?",pattern_based,suppress_if_explicitly_defined
coordinate with,COORD_BURDEN,Implied or Ambiguous Responsibilities,Shifts management of physical and schedule overlaps to the builder.,GC becomes the default safety net for subcontractor errors or delays.,"This scope requires coordination across multiple trades or parties. Does the document assign priority, sequencing authority, or responsibility to prevent schedule stacking or conflict?",context_dependent,suppress_if_exclusion_present
allowance for,SCOPE_GAP,Common Dispute Zones,Uses a budget placeholder instead of a defined technical specification.,"Final selections often exceed the allowance, causing budget friction.","An allowance is used in place of a defined specification. Does the stated amount include tax, delivery, labor, and installation, or are those costs excluded?",pattern_based,always_surface
match existing,FINISH_CREEP,Common Dispute Zones,Sets an aesthetic goal without defining a physical boundary.,"PMs face ""ghosting"" where the transition point is never acceptable.","A matching requirement is stated without a defined boundary. Is the transition point limited to the immediate area of work, or does it extend to the nearest corner, edge, or full surface?",pattern_based,suppress_if_explicitly_defined
industry standard,SCOPE_GAP,Implied or Ambiguous Responsibilities,Vague terminology lacks a measurable performance metric.,"Quality disputes arise because ""standard"" is defined by the observer.","The term “industry standard” is subjective and lacks a measurable benchmark. Does the contract reference a specific published standard such as AWI, TCNA, ASTM, or another enforceable metric for acceptance?",explicit_only,always_surface
by others,RESP_SHIFT,Implied or Ambiguous Responsibilities,Creates a boundary gap with no enforcement mechanism.,"Schedule and cost stalls fall back on GC even when ""others"" fail.","This item relies on performance by a third party outside the builder’s control. Is the specific handoff condition, responsible party, and required timing defined elsewhere in the contract documents?",explicit_only,suppress_if_explicitly_defined
field verify,COORD_BURDEN,Explicit Builder Commitments,Assumes drawings may not reflect actual site reality.,Builder assumes liability for design errors discovered after the fact.,"The drawings may not accurately reflect existing site conditions. If discrepancies are discovered during field verification, does the scope define a formal adjustment or change mechanism?",context_dependent,suppress_if_explicitly_defined
paint ready,FINISH_CREEP,Common Dispute Zones,Ambiguous definition of surface preparation and substrate quality.,Trades argue over responsibility for sanding and priming.,Surface preparation requirements are implied but not explicitly defined. Does “paint ready” require a specific finish level (such as Level 4 or Level 5) and primer application?,context_dependent,suppress_if_explicitly_defined
code compliant,CODE_DEP,Common Dispute Zones,Shifts the burden of design compliance to the installer.,Builder is on the hook for any inspector-ordered changes or costs.,Design compliance responsibility is shifted to the installer. Has this specific assembly or condition been reviewed and approved by the local jurisdiction to avoid inspector-driven changes?,pattern_based,always_surface
including but not limited to,SCOPE_GAP,Common Dispute Zones,Provides an open-ended scope that resists firm boundaries.,"Creates a ""blank check"" for the client to add tasks indefinitely.",This phrase creates an open-ended scope with no clear boundary. Is there a specific exclusion list or defined scope limit that constrains what is included?,explicit_only,always_surface
at no additional cost,RESP_SHIFT,Explicit Builder Commitments,Forces the builder to absorb costs for items that may not be fully defined.,"""Free work"" clauses often cover expensive gap-filling between trades.",This clause shifts undefined costs to the builder without a clear cap. Is there a specific scope list or cost boundary that limits what must be provided at no additional cost?,explicit_only,always_surface
turnkey,SCOPE_GAP,Implied or Ambiguous Responsibilities,"Implies a ""complete"" product regardless of what is actually drawn.","Clients assume ""turnkey"" includes accessories, cleaning, and unlisted systems.","The term “turnkey” implies a fully complete deliverable beyond what may be shown in the documents. Does the scope explicitly define inclusions and exclusions for items such as accessories, furniture, systems, and final cleaning?",explicit_only,always_surface
sole discretion,RESP_SHIFT,Common Dispute Zones,Removes the builder's ability to negotiate or dispute a rejection.,The architect becomes the judge and jury on whether extra work is billable.,This language removes objective acceptance criteria and concentrates decision-making authority. Is there an industry standard (such as AWI or TCNA) identified that can serve as a neutral benchmark for approval?,explicit_only,always_surface
satisfaction of architect,FINISH_CREEP,Common Dispute Zones,Replaces objective tolerances with subjective opinion.,Work installed to code can be rejected simply because the architect dislikes it.,Acceptance criteria are subjective and based on personal judgment rather than measurable standards. Is there a defined tolerance or objective performance metric that replaces individual preference?,pattern_based,suppress_if_explicitly_defined
restore to original condition,SCOPE_GAP,Implied or Ambiguous Responsibilities,Subjective baseline for repairs to existing site conditions.,Disputes arise over pre-existing damage vs. construction damage.,The phrase “original condition” lacks a documented baseline for comparison. Is there a pre-construction photo report or condition survey that establishes the standard for restoration?,pattern_based,suppress_if_explicitly_defined
continuous supervision,COORD_BURDEN,Explicit Builder Commitments,Implies a dedicated superintendent must be on-site every single hour.,Prevents a PM from managing multiple jobs or stepping away for materials.,"The phrase “continuous supervision” implies a full-time, non-working on-site role. Is the intent a dedicated superintendent at all times, or is a working lead or periodic supervision acceptable?",pattern_based,suppress_if_explicitly_defined
liquidated damages,CODE_DEP,Common Dispute Zones,Assigns a specific cash penalty for every day the project is late.,"Turns a schedule slip into a direct profit loss, regardless of cause.",Liquidated damages impose a fixed financial penalty for schedule delays regardless of cause. Does the contract include provisions for excusable delays or reciprocal incentives such as early completion bonuses?,explicit_only,always_surface
hazardous materials,RESP_SHIFT,Explicit Builder Commitments,"Ambiguous liability if the builder ""discovers"" lead or asbestos.","If not excluded, the builder may own the schedule delay for remediation.",The scope creates potential liability for discovery of hazardous materials without defining responsibility. Is the builder’s obligation limited to stopping work and notifying the owner or authorities upon discovery?,explicit_only,suppress_if_exclusion_present
temporary protection,COORD_BURDEN,Implied or Ambiguous Responsibilities,Vague requirement to protect existing floors and finishes.,Who pays for the thousands of dollars in Ram Board and tape?,"Protection requirements are broadly stated without defining extent or cost responsibility. Is temporary protection covered by a specific allowance, or is it included within general conditions?",context_dependent,suppress_if_explicitly_defined
permit fees,SCOPE_GAP,Explicit Builder Commitments,Unclear if the builder pays the city fees or just pulls the paper.,Permit costs can vary wildly; builder shouldn't carry this risk.,"Responsibility for permit fees is unclear and may expose the builder to unpredictable costs. Are permit and city fees reimbursable at cost, or included in the base contract sum?",pattern_based,suppress_if_exclusion_present
accelerated schedule,COORD_BURDEN,Common Dispute Zones,Implies overtime or weekend work is required to hit a date.,Labor costs balloon due to overtime premiums not in the base bid.,"The schedule implies work beyond standard hours to meet required dates. Does the base contract include overtime, weekend, or premium labor costs, or are those treated as additional compensation?",context_dependent,suppress_if_explicitly_defined
time is of the essence,RESP_SHIFT,Common Dispute Zones,Legal term converting schedule delays into a material breach of contract.,Increases the legal risk of termination if the schedule slips.,"The phrase “time is of the essence” converts schedule delays into a material breach of contract. Does the agreement account for excusable delays such as weather, inspections, or supply chain disruptions?",explicit_only,always_surface
if possible,IF_POSSIBLE,Implied or Ambiguous Responsibilities,"Conditional language defers decision-making without defining authority, timing, or consequences.",Decision delays stall progress and force the builder to carry schedule risk.,"This language defers a decision without identifying authority, timing, or consequence. Who decides whether this condition is possible, by when, and what happens if it is not?",context_dependent,suppress_if_explicitly_defined
where possible,IF_POSSIBLE,Implied or Ambiguous Responsibilities,"Conditional language defers decision-making without defining authority, timing, or consequences.",Decision delays stall progress and force the builder to carry schedule risk.,"This language defers a decision without identifying authority, timing, or consequence. Who decides whether this condition is possible, by when, and what happens if it is not?",context_dependent,suppress_if_explicitly_defined
if feasible,IF_POSSIBLE,Implied or Ambiguous Responsibilities,"Conditional language defers decision-making without defining authority, timing, or consequences.",Decision delays stall progress and force the builder to carry schedule risk.,"This language defers a decision without identifying authority, timing, or consequence. Who decides whether this condition is feasible, by when, and what happens if it is not?",context_dependent,suppress_if_explicitly_defined
possibly,IF_POSSIBLE,Implied or Ambiguous Responsibilities,Signals uncertainty in scope intent and allows future expansion without contractual clarity.,Builder absorbs uncertainty and becomes responsible for interpreting intent.,"This language signals uncertainty in scope intent and allows future expansion without contractual clarity. Who determines whether this option proceeds, and at what stage is that decision finalized?",context_dependent,suppress_if_explicitly_defined
potentially,IF_POSSIBLE,Implied or Ambiguous Responsibilities,Signals uncertainty in scope intent and allows future expansion without contractual clarity.,Builder absorbs uncertainty and becomes responsible for interpreting intent.,"This language signals uncertainty in scope intent and allows future expansion without contractual clarity. Who determines whether this option proceeds, and at what stage is that decision finalized?",context_dependent,suppress_if_explicitly_defined
repair if needed,FINISH_CREEP,Common Dispute Zones,"Introduces undefined repair scope without quantity, limit, or baseline condition.","Repair scope grows beyond expectations, often without approved change orders.","This repair scope is undefined and lacks a quantity, limit, or baseline condition. What conditions define when a repair is required, and how is that determination made?",pattern_based,suppress_if_explicitly_defined
if needed,AS_NEEDED,Common Dispute Zones,Allows additional work to be introduced without a defined trigger or cap.,Additional labor and materials are performed without clear compensation.,This phrase allows additional work without a defined trigger or cap. What specific criteria determine when this work becomes required?,pattern_based,suppress_if_explicitly_defined
as needed,AS_NEEDED,Common Dispute Zones,"Requires variable work without defining extent, quantity, or pricing mechanism.",Open-ended work increases labor hours and erodes profit margins.,"This language introduces variable work without defining extent, quantity, or pricing boundaries. What specific conditions trigger this work, and is there a limit to the quantity included?",pattern_based,always_surface
as required,AS_NEEDED,Common Dispute Zones,"Requires variable work without defining extent, quantity, or pricing mechanism.",Open-ended work increases labor hours and erodes profit margins.,"This language introduces variable work without defining extent, quantity, or pricing boundaries. What specific conditions trigger this work, and is there a limit to the quantity included?",pattern_based,always_surface
as necessary,AS_NEEDED,Common Dispute Zones,"Requires variable work without defining extent, quantity, or pricing mechanism.",Open-ended work increases labor hours and erodes profit margins.,"This language introduces variable work without defining extent, quantity, or pricing boundaries. What specific conditions trigger this work, and is there a limit to the quantity included?",pattern_based,always_surface
tie into,UNDEFINED_BOUNDARY,Common Dispute Zones,Requires integration with existing systems without defining physical or performance boundaries.,Builder becomes responsible for failures or mismatches at connection points.,This language requires integration with existing systems without defining a physical or performance boundary. What is the defined physical boundary for this tie-in?,pattern_based,suppress_if_explicitly_defined
tie into the drain,UNDEFINED_BOUNDARY,Common Dispute Zones,Requires integration with existing plumbing without defining responsibility or limits.,"Plumbing tie-ins expose the builder to leaks, rework, and inspection failures.",This language requires integration with existing plumbing without defining responsibility or scope limits. What is the defined connection point and extent of work at the drain?,pattern_based,suppress_if_explicitly_defined
tie into existing roofing,UNDEFINED_BOUNDARY,Common Dispute Zones,Requires integration with existing roofing without defining extent or responsibility for failures.,Roofing connections expose the builder to warranty disputes and water intrusion claims.,This language requires integration with existing roofing without defining extent or responsibility for failures. What is the defined transition point for the roofing connection?,pattern_based,suppress_if_explicitly_defined
tie into the roofing,UNDEFINED_BOUNDARY,Common Dispute Zones,Requires integration with roofing systems without defining transition points or warranties.,Roofing transitions increase liability for weatherproofing failures.,This language requires integration with roofing systems without defining a transition point or warranty responsibility. What is the defined transition point for the roofing connection?,pattern_based,suppress_if_explicitly_defined
tie into the existing building paper,UNDEFINED_BOUNDARY,Common Dispute Zones,Requires integration with building envelope layers without defining sequencing or responsibility.,Envelope tie-ins increase risk of moisture intrusion and long-term defects.,This language requires integration with the building envelope without defining sequencing or responsibility boundaries. What is the defined transition point for the building paper connection?,pattern_based,suppress_if_explicitly_defined
match existing,FINISH_CREEP,Common Dispute Zones,Defines an aesthetic goal without establishing a measurable boundary or acceptance criteria.,Builder faces repeated rejection of work due to undefined transition expectations.,This language defines an aesthetic goal without establishing a measurable boundary or acceptance criteria. What is the physical boundary for matching existing conditions?,pattern_based,suppress_if_explicitly_defined
to match existing,FINISH_CREEP,Common Dispute Zones,Defines an aesthetic goal without establishing a measurable boundary or acceptance criteria.,Builder faces repeated rejection of work due to undefined transition expectations.,This language defines an aesthetic goal without establishing a measurable boundary or acceptance criteria. What is the physical boundary for matching existing conditions?,pattern_based,suppress_if_explicitly_defined
to closely match existing,FINISH_CREEP,Common Dispute Zones,Defines an aesthetic goal without establishing a measurable boundary or acceptance criteria.,Builder faces repeated rejection of work due to undefined transition expectations.,This language defines an aesthetic goal without establishing a measurable boundary or acceptance criteria. What is the physical boundary for matching existing conditions?,pattern_based,suppress_if_explicitly_defined
closely match existing,FINISH_CREEP,Common Dispute Zones,Defines an aesthetic goal without establishing a measurable boundary or acceptance criteria.,Builder faces repeated rejection of work due to undefined transition expectations.,This language defines an aesthetic goal without establishing a measurable boundary or acceptance criteria. What is the physical boundary for matching existing conditions?,pattern_based,suppress_if_explicitly_defined
patch,UNDEFINED_BOUNDARY,Common Dispute Zones,Introduces partial work without defining limits of removal or restoration.,Partial work leads to disputes over how much restoration is included.,This language introduces partial work without defining the limits of removal or restoration. What is the extent of patching included in this scope?,pattern_based,suppress_if_explicitly_defined
